Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
2021-03-17,49.779361724853516,50.08120779064878,49.15051682060358,49.209208755789255,25575500
2021-03-18,47.63291931152344,49.443992994986786,47.38976511550759,49.309839507266226,38622800
2021-03-19,47.36460494995117,48.18629533391252,46.79445191643171,47.549063967757384,84439400
2021-03-22,46.878299713134766,47.674837373916816,46.869916520240096,47.37299125417026,29315100
2021-03-23,46.29976272583008,47.19691467968585,45.65414813500909,46.064991748322655,33493300
2021-03-24,47.23883056640625,48.02698171549212,47.02083240124485,47.02083240124485,29781800
2021-03-25,47.10469055175781,47.37299753857645,45.696077271724185,46.29138319882356,31495900
2021-03-26,48.38752365112305,48.44621559259961,47.38975744755058,48.04375519455851,34226500
2021-03-29,48.12760925292969,48.47976094673814,47.574225735179745,48.07730049732648,21144400
2021-03-30,47.532291412353516,48.09406121840092,47.364601988192014,47.67483126105568,20303400
2021-03-31,46.81122589111328,47.48199328804231,46.78606991477946,47.247222300263715,23686500
2021-04-01,48.119224548339844,48.16953330570707,47.07114942505845,47.22207249868869,23194500
2021-04-05,47.372989654541016,48.06052659364959,47.0711435449868,48.04375700995535,23264800
2021-04-06,47.23883056640625,48.24498307912418,47.17175223960541,47.6580605134995,18926300
2021-04-07,47.44845199584961,47.59937505321562,47.154992272344096,47.2807593545017,22385000
2021-04-08,46.953765869140625,47.02084421279142,46.38361274199477,46.89507391768191,21999300
